Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2023-01-03,239.2097625732422,0.0,247.02999877929688,0.0,249.1699981689453,245.32000732421875,248.6199951171875,0.0,236700.0
2023-01-04,240.25555419921875,0.0,248.11000061035156,0.0,249.1999969482422,246.47000122070312,248.2100067138672,0.0,176600.0
2023-01-05,238.07679748535156,0.0,245.86000061035156,0.0,247.19000244140625,244.88999938964844,246.91000366210938,0.0,162600.0
2023-01-06,240.0812530517578,0.0,247.92999267578125,0.0,248.5800018310547,244.25,247.30999755859375,0.0,153600.0
2023-01-09,236.32412719726562,0.0,244.0500030517578,0.0,248.52999877929688,243.66000366210938,248.25999450683594,0.0,394200.0
2023-01-10,238.696533203125,0.0,246.5,0.0,246.5500030517578,243.7899932861328,243.7899932861328,0.0,290100.0
2023-01-11,240.1974639892578,0.0,248.0500030517578,0.0,248.0500030517578,245.74000549316406,246.69000244140625,0.0,214600.0
2023-01-12,240.0812530517578,0.0,247.92999267578125,0.0,248.57000732421875,244.89999389648438,248.0,0.0,261900.0
2023-01-13,241.1173858642578,0.0,249.0,0.0,249.77999877929688,246.5,246.72000122070312,0.0,320800.0
2023-01-17,240.16839599609375,0.0,248.02000427246094,0.0,249.36000061035156,247.66000366210938,248.92999267578125,0.0,239200.0
2023-01-18,236.79859924316406,0.0,244.5399932861328,0.0,248.77999877929688,244.5399932861328,248.10000610351562,0.0,373600.0
2023-01-19,237.1375274658203,0.0,244.88999938964844,0.0,245.97999572753906,243.61000061035156,243.61000061035156,0.0,467400.0
2023-01-20,238.7255859375,0.0,246.52999877929688,0.0,246.66000366210938,243.9499969482422,245.55999755859375,0.0,210500.0
2023-01-23,239.68426513671875,0.0,247.52000427246094,0.0,248.63999938964844,246.02999877929688,246.82000732421875,0.0,177300.0
2023-01-24,238.0574188232422,0.0,245.83999633789062,0.0,247.8000030517578,244.61000061035156,246.25999450683594,0.0,158000.0
2023-01-25,238.3673095703125,0.0,246.16000366210938,0.0,246.16000366210938,243.63999938964844,244.41000366210938,0.0,202100.0
2023-01-26,238.95799255371094,0.0,246.77000427246094,0.0,246.8800048828125,244.8000030517578,246.8699951171875,0.0,175200.0
2023-01-27,237.4958038330078,0.0,245.25999450683594,0.0,246.61000061035156,244.8699951171875,246.16000366210938,0.0,147900.0
2023-01-30,235.0555877685547,0.0,242.74000549316406,0.0,246.0800018310547,242.52999877929688,244.88999938964844,0.0,229700.0
2023-01-31,238.28982543945312,0.0,246.0800018310547,0.0,246.11000061035156,243.27000427246094,243.27000427246094,0.0,179600.0
2023-02-01,239.6939239501953,0.0,247.52999877929688,0.0,248.99000549316406,244.36000061035156,246.0,0.0,193600.0
2023-02-02,238.9095916748047,0.0,246.72000122070312,0.0,246.8000030517578,245.0,246.6199951171875,0.0,299700.0
2023-02-03,237.87344360351562,0.0,245.64999389648438,0.0,247.39999389648438,244.9199981689453,246.6300048828125,0.0,202600.0
2023-02-06,236.2078857421875,0.0,243.92999267578125,0.0,245.52999877929688,243.58999633789062,245.1999969482422,0.0,125200.0
2023-02-07,237.7088165283203,0.0,245.47999572753906,0.0,246.16000366210938,242.16000366210938,243.0,0.0,218800.0
2023-02-08,236.5662078857422,0.0,244.3000030517578,0.0,245.8699951171875,244.11000061035156,244.97000122070312,0.0,121200.0
2023-02-09,234.47454833984375,0.0,242.13999938964844,0.0,245.89999389648438,241.72000122070312,245.39999389648438,0.0,151000.0
2023-02-10,236.2756805419922,0.0,244.0,0.0,244.22999572753906,241.97999572753906,242.35000610351562,0.0,161800.0
2023-02-13,238.09619140625,0.0,245.8800048828125,0.0,245.9600067138672,243.8699951171875,243.9600067138672,0.0,144400.0
2023-02-14,236.93417358398438,0.0,244.67999267578125,0.0,246.99000549316406,243.3699951171875,245.8800048828125,0.0,163900.0
2023-02-15,236.2563018798828,0.0,243.97999572753906,0.0,244.3300018310547,243.0,243.85000610351562,0.0,187800.0
2023-02-16,234.009765625,0.0,241.66000366210938,0.0,243.9499969482422,241.3300018310547,242.05999755859375,0.0,131300.0
2023-02-17,236.37254333496094,0.0,244.10000610351562,0.0,244.25,240.5500030517578,240.9600067138672,0.0,120400.0
2023-02-21,232.37326049804688,0.0,239.97000122070312,0.0,242.77000427246094,239.83999633789062,242.11000061035156,0.0,231200.0
2023-02-22,231.8890838623047,0.0,239.47000122070312,0.0,241.0,239.0,240.41000366210938,0.0,116100.0
2023-02-23,232.51852416992188,0.0,240.1199951171875,0.0,241.27000427246094,238.35000610351562,239.77000427246094,0.0,156300.0
2023-02-24,229.43919372558594,0.0,236.94000244140625,0.0,238.42999267578125,236.35000610351562,238.42999267578125,0.0,132200.0
2023-02-27,228.90660095214844,0.0,236.38999938964844,0.0,239.05999755859375,235.91000366210938,238.25,0.0,150800.0
2023-02-28,227.3282012939453,0.0,234.75999450683594,0.0,236.0800018310547,234.75999450683594,236.0399932861328,0.0,244700.0
2023-03-01,227.36692810058594,0.0,234.8000030517578,0.0,235.35000610351562,233.77999877929688,234.0800018310547,0.0,198500.0
2023-03-02,228.6257781982422,0.0,236.10000610351562,0.0,236.7899932861328,233.75,234.0,0.0,154100.0
2023-03-03,231.55015563964844,0.0,239.1199951171875,0.0,239.1199951171875,236.2899932861328,237.17999267578125,0.0,174100.0
2023-03-06,230.71739196777344,0.0,238.25999450683594,0.0,239.50999450683594,237.77000427246094,239.05999755859375,0.0,159400.0
