Date,Adj Close,Capital Gains,Close,Dividends,High,Low,Open,Stock Splits,Volume
2023-01-03,130.6468505859375,0.0,135.4600067138672,0.0,136.3300018310547,134.42999267578125,135.9600067138672,0.0,7239200.0
2023-01-04,130.99407958984375,0.0,135.82000732421875,0.0,136.57000732421875,134.94000244140625,136.22000122070312,0.0,8469800.0
2023-01-05,129.6534423828125,0.0,134.42999267578125,0.0,135.25,133.89999389648438,134.9199981689453,0.0,6714200.0
2023-01-06,130.8494110107422,0.0,135.6699981689453,0.0,136.0399932861328,133.61000061035156,135.3300018310547,0.0,7175700.0
2023-01-09,128.66004943847656,0.0,133.39999389648438,0.0,135.85000610351562,133.22000122070312,135.80999755859375,0.0,7719500.0
2023-01-10,129.7402801513672,0.0,134.52000427246094,0.0,134.72999572753906,133.14999389648438,133.35000610351562,0.0,7675200.0
2023-01-11,130.47328186035156,0.0,135.27999877929688,0.0,135.3000030517578,133.99000549316406,134.61000061035156,0.0,7307200.0
2023-01-12,130.05857849121094,0.0,134.85000610351562,0.0,135.41000366210938,133.5399932861328,134.99000549316406,0.0,7580500.0
2023-01-13,130.63723754882812,0.0,135.4499969482422,0.0,135.86000061035156,134.0500030517578,134.11000061035156,0.0,6334100.0
2023-01-17,130.02964782714844,0.0,134.82000732421875,0.0,135.61000061035156,134.63999938964844,135.3800048828125,0.0,6664100.0
2023-01-18,128.19711303710938,0.0,132.9199981689453,0.0,135.1699981689453,132.7899932861328,134.82000732421875,0.0,10629100.0
2023-01-19,128.50576782226562,0.0,133.24000549316406,0.0,133.77000427246094,132.25999450683594,132.52999877929688,0.0,9902300.0
2023-01-20,129.1519317626953,0.0,133.91000366210938,0.0,134.00999450683594,132.52000427246094,133.5399932861328,0.0,5962200.0
2023-01-23,129.5955810546875,0.0,134.3699951171875,0.0,135.1199951171875,133.69000244140625,133.99000549316406,0.0,7211000.0
2023-01-24,128.73721313476562,0.0,133.47999572753906,0.0,134.47999572753906,132.6199951171875,133.6999969482422,0.0,5754800.0
2023-01-25,128.7758026123047,0.0,133.52000427246094,0.0,133.5500030517578,132.2100067138672,132.58999633789062,0.0,5999000.0
2023-01-26,129.0169219970703,0.0,133.77000427246094,0.0,133.9499969482422,132.72999572753906,133.8300018310547,0.0,6861100.0
2023-01-27,128.13926696777344,0.0,132.86000061035156,0.0,133.7100067138672,132.69000244140625,133.57000732421875,0.0,5854600.0
2023-01-30,126.9819107055664,0.0,131.66000366210938,0.0,133.44000244140625,131.4600067138672,132.61000061035156,0.0,7055400.0
2023-01-31,128.6215057373047,0.0,133.36000061035156,0.0,133.3800048828125,131.8300018310547,131.9600067138672,0.0,6290600.0
2023-02-01,129.22911071777344,0.0,133.99000549316406,0.0,134.80999755859375,132.36000061035156,133.36000061035156,0.0,11843000.0
2023-02-02,128.3514404296875,0.0,133.0800018310547,0.0,133.25999450683594,132.1300048828125,133.00999450683594,0.0,11274600.0
2023-02-03,127.97531127929688,0.0,132.69000244140625,0.0,133.60000610351562,132.25,133.1699981689453,0.0,10046800.0
2023-02-06,127.26158905029297,0.0,131.9499969482422,0.0,132.77999877929688,131.77000427246094,132.5,0.0,7328300.0
2023-02-07,128.08139038085938,0.0,132.8000030517578,0.0,133.19000244140625,131.02999877929688,131.49000549316406,0.0,7551000.0
2023-02-08,127.70525360107422,0.0,132.41000366210938,0.0,133.14999389648438,132.2100067138672,132.32000732421875,0.0,5614100.0
2023-02-09,126.58646392822266,0.0,131.25,0.0,133.25,131.0399932861328,132.74000549316406,0.0,8085700.0
2023-02-10,127.78241729736328,0.0,132.49000549316406,0.0,132.6300048828125,131.25,131.42999267578125,0.0,6198600.0
2023-02-13,128.8433074951172,0.0,133.58999633789062,0.0,133.60000610351562,132.50999450683594,132.50999450683594,0.0,6300300.0
2023-02-14,128.08139038085938,0.0,132.8000030517578,0.0,134.00999450683594,132.1300048828125,133.77000427246094,0.0,6905900.0
2023-02-15,127.4448471069336,0.0,132.13999938964844,0.0,132.4600067138672,131.69000244140625,132.27999877929688,0.0,6491900.0
2023-02-16,126.17176055908203,0.0,130.82000732421875,0.0,131.99000549316406,130.5399932861328,130.92999267578125,0.0,8008000.0
2023-02-17,127.3001708984375,0.0,131.99000549316406,0.0,132.22999572753906,130.0800018310547,130.1999969482422,0.0,10798800.0
2023-02-21,125.65093231201172,0.0,130.27999877929688,0.0,131.57000732421875,130.08999633789062,131.02999877929688,0.0,9066200.0
2023-02-22,125.22654724121094,0.0,129.83999633789062,0.0,130.72999572753906,129.57000732421875,130.4199981689453,0.0,7318900.0
2023-02-23,125.56411743164062,0.0,130.19000244140625,0.0,130.85000610351562,129.24000549316406,129.80999755859375,0.0,9955500.0
2023-02-24,123.9438247680664,0.0,128.50999450683594,0.0,129.33999633789062,128.1300048828125,129.08999633789062,0.0,9008000.0
2023-02-27,123.56767272949219,0.0,128.1199951171875,0.0,129.57000732421875,127.83000183105469,129.2100067138672,0.0,6463900.0
2023-02-28,122.65142059326172,0.0,127.16999816894531,0.0,127.91000366210938,127.05999755859375,127.83000183105469,0.0,10282800.0
2023-03-01,122.44889068603516,0.0,126.95999908447266,0.0,127.23999786376953,126.41000366210938,126.55999755859375,0.0,11101000.0
2023-03-02,123.20117950439453,0.0,127.73999786376953,0.0,128.10000610351562,126.38999938964844,126.38999938964844,0.0,10203100.0
2023-03-03,124.58037567138672,0.0,129.1699981689453,0.0,129.22000122070312,127.69000244140625,128.3300018310547,0.0,10048000.0
2023-03-06,124.52250671386719,0.0,129.11000061035156,0.0,129.6999969482422,128.80999755859375,129.25999450683594,0.0,8153400.0
2023-03-07,122.51640319824219,0.0,127.02999877929688,0.0,129.52000427246094,126.80999755859375,129.3699951171875,0.0,9604400.0
2023-03-08,121.86056518554688,0.0,126.3499984741211,0.0,127.16000366210938,125.83999633789062,126.7699966430664,0.0,10793200.0
2023-03-09,120.62606048583984,0.0,125.06999969482422,0.0,127.05000305175781,124.55999755859375,126.83999633789062,0.0,13270300.0
2023-03-10,119.73873138427734,0.0,124.1500015258789,0.0,125.9000015258789,123.66999816894531,124.86000061035156,0.0,20483200.0
2023-03-13,120.8575210571289,0.0,125.30999755859375,0.0,127.0199966430664,123.5999984741211,123.75,0.0,21294200.0
2023-03-14,121.93772888183594,0.0,126.43000030517578,0.0,126.81999969482422,125.16999816894531,126.16000366210938,0.0,14582900.0
2023-03-15,121.83163452148438,0.0,126.31999969482422,0.0,126.5,124.83999633789062,125.06999969482422,0.0,17244600.0
2023-03-16,122.96971130371094,0.0,127.5,0.0,127.55999755859375,125.0199966430664,125.37000274658203,0.0,16011400.0
2023-03-17,121.38797760009766,0.0,125.86000061035156,0.0,127.48999786376953,125.45999908447266,127.38999938964844,0.0,15071400.0
2023-03-20,122.92649841308594,0.0,126.95999908447266,0.489,127.1500015258789,125.58000183105469,125.58000183105469,0.0,10592100.0
2023-03-21,123.67204284667969,0.0,127.7300033569336,0.0,127.87999725341797,126.68000030517578,127.44999694824219,0.0,8816300.0
2023-03-22,121.80335235595703,0.0,125.80000305175781,0.0,128.27000427246094,125.77999877929688,127.80000305175781,0.0,10480000.0
